taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Temperature Range	Genome Size    assembled	Gene Count    assembled	
2264867019	Archaea	Permanent Draft	Yellowstone Metagenome Project Biological Metagenomics and Bio-inspired Energy	Crenarchaeota archaeon SCGC AAA261-N13 unscreened	DOE Joint Genome Institute JGI	2264867019	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA261-N13		758618	999	
2681813024	Archaea	Permanent Draft	Genome sequencing of Thermococcus celer JCM 8558	Thermococcus celer JCM 8558	University of Tokyo	2681813024	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus celer		1886521	3580	
2681813050	Archaea	Permanent Draft	Acidiplasma aeolicum strainV Genome sequencing	Acidiplasma aeolicum V	California Institute of Technology	2681813050	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma	Acidiplasma aeolicum		1634649	1751	
2684622705	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius GG12-C01-12	University of Illinois Urbana-Champaign	2684622705	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius		2217231	2465	
2602041564	Archaea	Permanent Draft	Halopiger sp IIH3	Halopiger goleamassiliensis IIH3	European Bioinformatics Institute	2602041564	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger	Halopiger goleimassiliensis		3906156	3905	
2639762679	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Euryarchaeota archaeon SCGC AC-312-F18 unscreened	Bigelow Laboratory Single Cell Genomics Center SCGC DOE Joint Genome Institute JGI	2639762679	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon SCGC AC-312-F18		383680	522	
2630968686	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina barkeri 227	University of Illinois Urbana-Champaign	2630968686	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri		4487566	3811	
2505679005	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Pyrolobus fumarii 1A DSM 11204	DOE Joint Genome Institute JGI	2505679005	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	Pyrolobus fumarii	Hyperthermophile	1843267	2038	
2740891966	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group IIB Euryarchaeota SCGC AG-487_I20 contamination screened	DOE Joint Genome Institute JGI	2740891966	Euryarchaeota	Candidatus Thalassoarchaea	unclassified	unclassified	unclassified	uncultured Candidatus Thalassoarchaea euryarchaeote		776206	707	
2728369310	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin South Africa and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Archaeoglobus sp JdFR-22	DOE Joint Genome Institute JGI	2728369310	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sp JdFR-22		2062531	2373	
2651869720	Archaea	Permanent Draft	Haloterrigena turkmenica WANU15	Haloterrigena turkmenica WANU15	Al Jouf University	2651869720	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena turkmenica		2883994	3256	
2528311097	Archaea	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Halalkalicoccus jeotgali B3 DSM 18796	DOE Joint Genome Institute JGI	2528311097	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	Halalkalicoccus jeotgali	Mesophile	3637498	3915	
2264867064	Archaea	Permanent Draft	GEBA-MDM	Aenigmarchaeota archaeon SCGC AAA011-F07 contamination screened DUSEL_001_186	DOE Joint Genome Institute JGI	2264867064	Aenigmarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		248182	379	
2698536762	Archaea	Draft	Acid mine drainage AMD solution archaeal communities from Fankou mine Guangdong China	Micrarchaeota archaeon_FKAMD2014bin52	BGI-shenzhen	2698536762	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		740254	840	
2698536945	Archaea	Permanent Draft	Development of a pipeline for high-throughput recovery of near-complete and complete microbial genomes from complex metagenomic datasets	Parvarchaeota archaeon JGI CrystG Apr02-2-N18 unscreened	DOE Joint Genome Institute JGI	2698536945	Candidatus Parvarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		260303	368	
2524023097	Archaea	Permanent Draft	mesopelagic bacterioplankton	Marine Group I thaumarchaeote sp SCGC AAA288-K20 unscreened	Marine Biological Laboratory	2524023097	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA288-K20		372044	700	
2706794893	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine archaeal group 1 JGI GoM_1470m_185_F01 contamination screened	DOE Joint Genome Institute JGI	2706794893	Thaumarchaeota	unclassified	Nitrosopumilales	unclassified	unclassified	unclassified		727716	925	
2654588078	Archaea	Permanent Draft	Marine sediment microbial communities from White Oak River estuary North Carolina	Crenarchaeota group archaeon SMTZ-80	DOE Joint Genome Institute JGI	2654588078	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	miscellaneous Crenarchaeota group archaeon SMTZ-80		1510195	1547	
2513237067	Archaea	Permanent Draft	Marine Group I crenarchaeote sp SCGC	Marine Group I crenarchaeote sp SCGC AAA001-A19 unscreened	Bigelow Laboratory Single Cell Genomics Center SCGC	2513237067	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA001-A19		757824	1129	
2728369315	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin South Africa and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Methanopyri archaeon JdFR-15	DOE Joint Genome Institute JGI	2728369315	Euryarchaeota	Methanopyri	unclassified	unclassified	unclassified	Methanopyri archaeon JdFR-15		207909	272	
2648501188	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina vacuolata Z-761	University of Illinois Urbana-Champaign	2648501188	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina vacuolata		4563885	3812	
2681813114	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 1FM05	University of Illinois Urbana-Champaign	2681813114	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4066836	3564	
2554235504	Archaea	Permanent Draft	Haloarchaeal genomes	Natrialba taiwanensis DSM 12281	University of California Davis	2554235504	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba taiwanensis	Mesophile	4635192	4423	
2593339205	Archaea	Permanent Draft	Rhizosphere Grand Challenge Single Cell Sequencing	Thaumarchaeota archaeum JGI 001001-A11	DOE Joint Genome Institute JGI	2593339205	Thaumarchaeota	Betaproteobacteria	unclassified	unclassified	unclassified	beta proteobacterium JGI 0001001-A11		587646	718	
2731639230	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group I1a Thaumarchaeota archaeon SCGC AG-485_D20 contamination screened	DOE Joint Genome Institute JGI	2731639230	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	uncultured marine group I thaumarchaeote		640686	775	
2651870124	Archaea	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains Phase II KMG-II from individual species to whole genera	Halovenus aranensis IBRC-M10015	DOE Joint Genome Institute JGI	2651870124	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halovenus	Halovenus aranensis		3287116	3426	
2502171154	Archaea	Permanent Draft	BRNA_1	Thermoplasmatales archaeon BRNA1		2502171154	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	Thermoplasmatales archaeon BRNA1		1461105	1582	
2636416021	Archaea	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains Phase II KMG-II from individual species to whole genera	Natronorubrum texcoconense DSM 25211	DOE Joint Genome Institute JGI	2636416021	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	Natronorubrum texcoconense		4641793	4573	
2636415612	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina thermophila TM-1	University of Illinois Urbana-Champaign	2636415612	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina thermophila	Thermophile	3127379	2773	
2681813409	Archaea	Permanent Draft	Single cell genomes from Mediterranean Sea Brine Lakes 1 MSBL1	candidate divison MSBL1 archaeon SCGC-AAA261F19	King Abdullah University of Science and Technology	2681813409	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	candidate divison MSBL1 archaeon SCGC-AAA261F19		655981	838	
2634166733	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Thaumarchaeota archaeon SCGC AB-633-I03 unscreened	DOE Joint Genome Institute JGI Bigelow Laboratory Single Cell Genomics Center SCGC	2634166733	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AB-633-I03		808049	1053	
2264867228	Archaea	Permanent Draft	GEBA-MDM	Aigarchaeota archaeon SCGC AAA471-A16 contamination screened GBS-N_001_1	DOE Joint Genome Institute JGI	2264867228	Aigarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		253217	279	
2757320680	Archaea	Finished	Genome sequencing of Candidatus Micrarchaeota archaeon Mia14	Candidatus Micrarchaeota archaeon Mia14	Fidelity Systems Inc Baltic Federal University	2757320680	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Micrarchaeota archaeon Mia14		952257	1016	
2511231117	Archaea	Finished	Pyrobaculum ferrireducens 1860	Pyrobaculum ferrireducens 1860	Russian Academy of Science Centre Bioengineering	2511231117	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum ferrireducens	Hyperthermophile	2467972	2858	
2554235509	Archaea	Permanent Draft	Haloarchaeal genomes	Halorubrum terrestre JCM 10247	University of California Davis	2554235509	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum terrestre	Mesophile	3376225	3299	
2513020047	Archaea	Finished	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus fermentans Z-1312 DSM 16532	DOE Joint Genome Institute JGI	2513020047	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	Hyperthermophile	1384116	1522	
2521172705	Archaea	Finished	Thermogladius calderae 1633	Thermogladius calderae 1633	Russian Academy of Science Centre Bioengineering	2521172705	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	Thermogladius calderae	Hyperthermophile	1356318	1463	
2657245297	Archaea	Permanent Draft	Single-cell microbial genomes from expanding oxygen minimum zones OMZs of the northeastern subarctic Pacific Ocean NESAP	Thaumarchaeota archaeon SCGC AC-312_E07 - v2 unscreened	DOE Joint Genome Institute JGI	2657245297	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AC-312_E07		377929	480	
646311934	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Haloterrigena turkmenica VKM B-1734 DSM 5511	DOE Joint Genome Institute JGI	646311934	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena turkmenica	Mesophile	5440782	5351	
2634166739	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Thaumarchaeota archaeon SCGC AB-637-K21 unscreened	Bigelow Laboratory Single Cell Genomics Center SCGC DOE Joint Genome Institute JGI	2634166739	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AB-637-K21		147963	195	
2522125043	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park US	Thermoproteales-Type-2-TT2-r02 from CIS_19	US Department of Energy DOE	2522125043	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	unclassified	unclassified		1767575	2316	
2531839261	Archaea	Permanent Draft	Natrialba aegyptia DSM 13077	Natrialba aegyptia DSM 13077	University of California Davis	2531839261	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba aegyptia	Mesophile	4618362	4451	
640069326	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum calidifontis JCM 11548	DOE Joint Genome Institute JGI	640069326	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis	Hyperthermophile	2009313	2213	
2630968663	Archaea	Permanent Draft	Genome sequencing of Halococcus sediminicola CBA1101	Halococcus sediminicola CBA1101	Korea Basic Science Institute KBSI	2630968663	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus sediminicola		3764367	3963	
2602041910	Archaea	Permanent Draft	Candidatus Parvarchaeum acidophilus ARMAN-5_5-way FS	Candidatus Parvarchaeum acidophilus ARMAN-5_5-way FS	University of California Berkeley	2602041910	Candidatus Parvarchaeota	unclassified	unclassified	unclassified	Candidatus Parvarchaeum	Candidatus Parvarchaeum acidophilus		100212	132	
2660238796	Archaea	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America analyzing microbe dynamics in response to fracking	Thermoplasmatales archaebacterium JGI SC39-E20 unscreened	DOE Joint Genome Institute JGI	2660238796	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	Thermoplasmatales archaeon JGI SC39-E20		84252	99	
2529292698	Archaea	Draft	Generating reference genomes for marine ecosystem research Single cell sequencing of ubiquitous uncultured bacterioplankton clades	Marine Group I thaumarchaeote SCGC AAA160-J20 unscreened	DOE Joint Genome Institute JGI	2529292698	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Marine Group I thaumarchaeote SCGC AAA160-J20		561707	804	
2681813393	Archaea	Permanent Draft	Single cell genomes from Mediterranean Sea Brine Lakes 1 MSBL1	candidate divison MSBL1 archaeon SCGC-AAA385M11	King Abdullah University of Science and Technology	2681813393	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	candidate divison MSBL1 archaeon SCGC-AAA385M11		215229	283	
2721755854	Archaea	Permanent Draft	Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre Station ALOHA	Thermoplasmatales GII_archaea JGI 02_E19 contamination screened	DOE Joint Genome Institute JGI	2721755854	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	unclassified		977413	897	
2721755435	Archaea	Draft	Metagenomics study of hot springs in Tengchong Yunnan	Unclassfied Crenarchaeota JZZ bin_31	Beijing Novogene Bioinformatics Technology Co Ltd	2721755435	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1399995	1541	
2503044005	Archaea	Permanent Draft	Site 19 Desulfuro	Desulfurococcales archaeon		2503044005	Crenarchaeota	Thermoprotei	Desulfurococcales	unclassified	unclassified	unclassified		1523776	1842	
2634166298	Archaea	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains Phase II KMG-II from individual species to whole genera	Methanoculleus thermophilus DSM 2373	DOE Joint Genome Institute JGI	2634166298	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus thermophilus	Thermophile	2217720	2320	
2512875006	Archaea	Draft	Hypersaline water microbial communities from Lake Tyrrell Victoria Australia	Haloquadratum walsbyi J07HQW2 version 2	US Department of Energy DOE	2512875006	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi		3594539	3909	
2529293244	Archaea	Permanent Draft	Haloferax mucosum ATCC BAA-1512	Haloferax mucosum PA12	University of California Davis	2529293244	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mucosum	Mesophile	3368982	3449	
2518645502	Archaea	Permanent Draft	single cell genomics of the PRT	Nitrosopumilus maritimus PRT005 unscreened	J Craig Venter Institute JCVI	2518645502	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	uncultured Candidatus Nitrosopumilus sp		884726	1818	
2718217671	Archaea	Draft	Metagenomics study of hot springs in Tengchong Yunnan	Unclassified Bathyarchaeota JZ bin_32	Beijing Novogene Bioinformatics Technology Co Ltd	2718217671	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1414552	1486	
2728369537	Archaea	Finished	Study the patterns of natural variation and gene flow as well as virus-host coevolution in thermophilic Archaea	Sulfolobus islandicus M1640	University of Illinois	2728369537	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	Thermophile	2664783	3121	
2681813128	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 3HA1A1	University of Illinois Urbana-Champaign	2681813128	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		3993878	3634	
2713897303	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Euryarchaeota archaeon SCGC SAG AG-538-E22	Bigelow Laboratory Single Cell Genomics Center SCGC	2713897303	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		450457	440	
2528311132	Archaea	Permanent Draft	Archaeoglobus fulgidus DSM 8774	Archaeoglobus fulgidus 7324	GATC-Biotech AG Konstanz Germany Seqlab Sequence Laboratories Gottingen	2528311132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	Thermophile	2316287	2615	
2724679620	Archaea	Permanent Draft	Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre Station ALOHA	Thermoplasmatales GII_archaea JGI 02_J17 contamination screened	DOE Joint Genome Institute JGI	2724679620	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	unclassified		850713	771	
2698536971	Archaea	Permanent Draft	Development of a pipeline for high-throughput recovery of near-complete and complete microbial genomes from complex metagenomic datasets	Euryarchaeota archaeon JGI CrystG Apr3-4-C6 unscreened	DOE Joint Genome Institute JGI	2698536971	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon JGI CrystG Apr3-4-C6		180004	199	
2600255127	Archaea	Permanent Draft	Halococcus agarilyticus 197A	Halococcus agarilyticus 197A	Japan Agency for Marine-Earth Science and Technology	2600255127	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus agarilyticus		3476609	3557	
2684622725	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius NG05B_CO5_03	University of Illinois Urbana-Champaign	2684622725	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius		2198578	2436	
2721755442	Archaea	Draft	Metagenomics study of hot springs in Tengchong Yunnan	Unclassfied Crenarchaeota ZZQ bin_2	Beijing Novogene Bioinformatics Technology Co Ltd	2721755442	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1358015	1435	
2529293001	Archaea	Permanent Draft	Natrinema pallidum DSM 3751	Natrinema pallidum DSM 3751	University of California Davis	2529293001	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema pallidum	Mesophile	3915814	3898	
2728369303	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin South Africa and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Candidatus Bathyarchaeota archaeon JdFR-01	DOE Joint Genome Institute JGI	2728369303	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Bathyarchaeota archaeon JdFR-01		200493	255	
2747842491	Archaea	Permanent Draft	Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre Station ALOHA	Thermoplasmatales GII archaeum JGI 01_L22 contamination screened	DOE Joint Genome Institute JGI	2747842491	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	unclassified		226120	203	
2698536764	Archaea	Draft	Acid mine drainage AMD solution archaeal communities from Fankou mine Guangdong China	Micrarchaeota archaeon_FKAMD2014bin73	BGI-shenzhen	2698536764	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		796534	900	
2681813416	Archaea	Permanent Draft	Thermococcus thioreducens DSM 14981 genome sequencing	Thermococcus thioreducens DSM 14981	Kyungpook National University Shins Lab	2681813416	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus thioreducens		2044141	2469	
2645727699	Archaea	Permanent Draft	Halorubrum tropicale 5 genome sequencing	Halorubrum tropicale 5	UPR- Mayaguez	2645727699	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum tropicale		3567018	3746	
638154518	Archaea	Finished	Sulfolobus solfataricus P2	Sulfolobus solfataricus P2	European Union EU ANRT	638154518	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	Hyperthermophile	2992245	3141	
2698536780	Archaea	Draft	Acid mine drainage AMD solution archaeal communities from Fankou mine Guangdong China	Parvarchaeota archaeon_FKAMD2014bin2	BGI-shenzhen	2698536780	Candidatus Parvarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		974027	1145	
2651870207	Archaea	Draft	Water column microbial communities from Red Sea Saudi Arabia	Nitrosopelagicus sp REDSEA-S25_B3	King Abdullah University of Science and Technology	2651870207	Thaumarchaeota	unclassified	unclassified	unclassified	Candidatus Nitrosopelagicus	unclassified		894148	1294	
2667528052	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 3FA1A1	University of Illinois Urbana-Champaign	2667528052	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4074011	3673	
2636415580	Archaea	Finished	Genome sequencing of Sulfolobus solfataricus strains - University of Nebraska-Lincoln	Sulfolobus solfataricus SULB	University of Nebraska-Lincoln	2636415580	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus		2727261	3072	
2639762671	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Euryarchaeota archaeon SCGC AAA008-E08 unscreened	Bigelow Laboratory Single Cell Genomics Center SCGC DOE Joint Genome Institute JGI	2639762671	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon SCGC AAA008-E08		949961	945	
2264867073	Archaea	Permanent Draft	GEBA-MDM	Nanoarchaeota archaeon SCGC AAA011-L15 contamination screened DUSEL_001_208	DOE Joint Genome Institute JGI	2264867073	Nanoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		204081	262	
2663762924	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 1HT25	University of Illinois Urbana-Champaign	2663762924	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4083531	3585	
2609460272	Archaea	Permanent Draft	Nanohaloarchaea archaeon AB578-D14 isolateAB578-D14 Genome sequencing	Nanohaloarchaea archaeon AB578-D14 unscreened	University of Alicante	2609460272	Candidatus Nanohaloarchaeota	Nanohaloarchaea	unclassified	unclassified	unclassified	Nanohaloarchaea archaeon AB578-D14		1026356	1846	
2675903317	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius GG12-C01-18	University of Illinois Urbana-Champaign	2675903317	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius		2220445	2440	
2551306368	Archaea	Permanent Draft	Halorubrum sp T3	Halorubrum sp T3	Chinese Academy of Sciences Institute of Botany	2551306368	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp T3		3167951	3116	
2684622741	Archaea	Permanent Draft	Sequencing of Methanobrevibacter genomes	Methanobrevibacter oralis DSM7256	Goettingen Genomics Laboratory	2684622741	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter oralis		2110861	2080	
2681813121	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 1HM23	University of Illinois Urbana-Champaign	2681813121	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		3975805	3488	
2506783068	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Methanofollis liminatans GKZPZ DSM 4140	DOE Joint Genome Institute JGI	2506783068	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis	Methanofollis liminatans	Mesophile	2475100	2522	
646564550	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Methanohalophilus mahii SLP DSM 5219	DOE Joint Genome Institute JGI	646564550	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus mahii	Mesophile	2012424	2095	
2264867070	Archaea	Permanent Draft	GEBA-MDM	Nanoarchaeota archaeon SCGC AAA011-G17 contamination screened DUSEL_001_198	DOE Joint Genome Institute JGI	2264867070	Nanoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1021220	1368	
640753036	Archaea	Finished	5 mesophilic methanococci Proposal  0179-051115	Methanococcus vannielii SB	DOE Joint Genome Institute JGI	640753036	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii	Mesophile	1720048	1755	
2654588040	Archaea	Finished	Halorhabdus tiamatea Complete genome sequencing	Halorhabdus tiamatea SARL4B	Max Planck Institute for Marine Microbiology	2654588040	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus tiamatea		3146160	3286	
2708742564	Archaea	Draft	Soil microbial communities from Rifle Colorado USA	Euryarchaeota archaeon RBG_19FT_COMBO_56_21	DOE Joint Genome Institute JGI	2708742564	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon RBG_19FT_COMBO_56_21		1868766	1844	
2698536761	Archaea	Draft	Acid mine drainage AMD solution archaeal communities from Fankou mine Guangdong China	Micrarchaeota archaeon_FKAMD2014bin40	BGI-shenzhen	2698536761	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		929071	1018	
2264867229	Archaea	Permanent Draft	GEBA-MDM	Aigarchaeota archaeon JGI 0000106-J15 contamination screened GBS-C_001_288	DOE Joint Genome Institute JGI	2264867229	Aigarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1085321	1158	
